;Woronicza 02;Bacha 01;Truskawiecka 02;Mangalia 02;Kulskiego 02;Malczewskiego 02;Madaliñskiego 04;Madaliñskiego - szpital;G¹sociñska 02;Aleja Niepodleg³oœci 162;;;;;;;;;;
Woronicza 02;0,00;4,50;6,20;4,80;1,60;2,60;2,30;2,40;7,50;2,90;;;;;;;;;;
Bacha 01;4,50;0,00;3,70;4,10;5,90;4,10;4,30;4,30;7,10;5,20;;;;;;;;;;
Truskawiecka 02;6,20;3,70;0,00;1,40;8,10;4,20;5,40;5,10;4,80;5,80;;;;;;;;;;
Mangalia 02;4,80;4,10;1,40;0,00;4,80;3,00;4,10;3,70;3,60;4,60;;;;;;;;;;
Kulskiego 02;1,60;5,90;8,10;4,80;0,00;3,40;0,70;1,80;7,40;1,30;;;;;;;;;;
Malczewskiego 02;2,60;4,10;4,20;3,00;3,40;0,00;1,80;1,50;5,40;2,50;;;;;;;;;;
Madaliñskiego 04;2,30;4,30;5,40;4,10;0,70;1,80;0,00;0,30;7,60;0,80;;;;;;;;;;
Madaliñskiego - szpital;2,40;4,30;5,10;3,70;1,80;1,50;0,30;0,00;6,20;1,00;;;;;;;;;;
G¹sociñska 02;7,50;7,10;4,80;3,60;7,40;5,40;7,60;6,20;0,00;6,20;;;;;;;;;;
Aleja Niepodleg³oœci 162;2,90;5,20;5,80;4,60;1,30;2,50;0,80;1,00;6,20;0,00;;;;;;;;;;
