;Woronicza 02;Bacha 01;Truskawiecka 02;Mangalia 02;Kulskiego 02;Malczewskiego 02;Madaliñskiego 04;Madaliñskiego - szpital;G¹sociñska 02;Plac Unii Lubelskiej 02;Wyœcigi 02;Aleja Niepodleg³oœci 162
Woronicza 02;0;4,5;6,2;4,8;1,6;2,6;2,3;2,4;7,5;3,7;6,7;2,9
Bacha 01;4,5;0;3,7;4,1;5,9;4,1;4,3;4,3;7,1;6,6;2;5,2
Truskawiecka 02;6,2;3,7;0;1,4;8,1;4,2;5,4;5,1;4,8;4,7;3,8;5,8
Mangalia 02;4,8;4,1;1,4;0;4,8;3;4,1;3,7;3,6;3,5;4,8;4,6
Kulskiego 02;1,6;5,9;8,1;4,8;0;3,4;0,7;1,8;7,4;2,3;7,6;1,3
Malczewskiego 02;2,6;4,1;4,2;3;3,4;0;1,8;1,5;5,4;2;6,1;2,5
Madaliñskiego 04;2,3;4,3;5,4;4,1;0,7;1,8;0;0,3;7,6;1,8;6,3;0,8
Madaliñskiego - szpital;2,4;4,3;5,1;3,7;1,8;1,5;0,3;0;6,2;1,5;6,5;1
G¹sociñska 02;7,5;7,1;4,8;3,6;7,4;5,4;7,6;6,2;0;5,1;7,4;6,2
Plac Unii Lubelskiej 02;3,7;6,6;4,7;3,5;2,3;2;1,8;1,5;5,1;0;6,2;1,4
Wyœcigi 02;6,7;2;3,8;4,8;7,6;6,1;6,3;6,5;7,4;7,5;0;8,3
Aleja Niepodleg³oœci 162;2,9;5,2;5,8;4,6;1,3;2,5;0,8;1;6,2;1,4;8,3;0
